x,y
34,95.5
29,27
46,49.5
40,109
4,40.5
18,49
47,83.5
21,53
-1,55.5
32,68
-28,102.5
29,66
45,69.5
26,65
32,79.5
-5,49
-11,107.5
37,119
62,110.5
-19,99
-3.55271e-15,132.5
-7,81
57,101.5
72,91
-10,139.5
-11,98
68,154.5
34,150
41,149.5
76,163
-14,109.5
66,114
19,94.5
30,121
-2,151.5
10,192
69,144.5
2,169
23,168.5
33,157
78,117.5
68,190
81,198.5
-3,168
49,218.5
28,182
73,192.5
37,139
25,215.5
94,171
96,204.5
36,215
70,140.5
101,144
22,236.5
58,203
8,229.5
94,193
74,243.5
54,176
51,188.5
43,179
110,235.5
95,242
24,196.5
83,228
114,227.5
104,242
25,262.5
39,206
49,255.5
54,216
26,208.5
94,260
33,209.5
66,246
123,222.5
46,247
75,255.5
51,262
110,297.5
96,240
74,264.5
127,217
69,283.5
60,236
124,280.5
81,318
66,294.5
99,268
73,285.5
79,265
118,246.5
118,263
103,339.5
75,284
82,342.5
66,280
92,265.5
78,286
127,263.5
95,325
66,302.5
60,307
59,287.5
84,360
126,291.5
75,373
83,322.5
130,365
151,383.5
134,312
107,379.5
69,331
119,380.5
135,379
109,363.5
165,309
124,308.5
118,318
93,337.5
171,355
119,382.5
114,339
86,329.5
81,323
138,354.5
156,332
99,365.5
124,358
103,399.5
90,353
165,397.5
108,379
147,368.5
86,383
139,448.5
167,402
157,425.5
163,388
172,389.5
125,456
153,427.5
193,448
194,465.5
155,445
110,442.5
188,472
125,445.5
184,422
191,468.5
178,429
139,396.5
149,448
184,412.5
193,409
155,471.5
167,411
145,414.5
152,494
117,410.5
125,484
134,469.5
133,516
136,423.5
155,433
157,491.5
123,455
146,479.5
204,490
141,458.5
144,506
219,520.5
154,526
217,516.5
198,497
152,534.5
150,551
169,496.5
228,470
229,549.5
156,552
142,545.5
153,503
167,524.5
230,476
216,543.5
211,553
189,534.5
200,524
220,568.5
235,492
164,556.5
148,505
206,548.5
172,556
191,501.5
150,508
233,525.5
192,575
179,598.5
224,520
211,612.5
190,525
208,567.5
159,555
190,572.5
248,581
226,575.5
228,561
161,580.5
250,634
212,629.5
167,575
228,641.5
219,639
253,574.5
220,648
244,642.5
227,586
207,619.5
186,583
233,568.5
202,594
225,617.5
232,574
271,671.5
277,620
218,581.5
208,585
181,665.5
229,625
242,640.5
219,626
224,686.5
201,624
191,628.5
237,666
274,633.5
233,642
268,609.5
230,683
242,703.5
261,705
287,714.5
239,666
226,714.5
280,667
240,698.5
226,664
262,676.5
262,654
226,700.5
285,651
295,669.5
302,714
284,683.5
298,678
233,711.5
224,725
216,717.5
224,748
213,710.5
240,761
231,721.5
294,701
263,764.5
265,747
270,759.5
251,775
278,711.5
234,773
237,744.5
236,782
237,773.5
236,766
316,773.5
283,743
249,737.5
317,795
269,775.5
302,796
289,731.5
240,777
284,756.5
241,781
254,742.5
283,810
312,787.5
313,769
330,817.5
249,815
300,753.5
315,771
245,803.5
264,785
272,837.5
322,785
306,835.5
343,815
321,858.5
269,801
322,827.5
276,861
328,816.5
287,834
339,864.5
350,868
316,794.5
281,839
335,875.5
309,838
294,810.5
301,832
319,824.5
364,822
348,815.5
284,804
300,843.5
366,811
309,889.5
290,833
343,876.5
286,896
352,904.5
312,826
353,907.5
285,886
336,873.5
379,843
308,884.5
318,897
301,844.5
347,891
329,855.5
291,881
378,924.5
343,866
378,922.5
383,875
296,941.5
314,944
310,894.5
387,941
321,962.5
382,925
340,948.5
312,890
378,956.5
362,957
389,903.5
312,919
397,906.5
350,927
342,985.5
359,940
380,927.5
333,993
319,922.5
327,943
374,964.5
402,970
343,918.5
385,978
348,1004.5
405,995
321,975.5
323,977
387,932.5
405,938
416,973.5
371,957
390,965.5
387,1019
421,1025.5
391,1007
363,1004.5
398,970
340,996.5
362,1053
410,980.5
402,1046
405,991.5
368,1007
418,1041.5
434,1002
400,1021.5
388,1007
412,993.5
399,1004
388,1008.5
424,1022
375,993.5
398,1035
443,1080.5
386,1075
406,1061.5
410,1085
390,1052.5
373,1031
423,1031.5
406,1047
374,1071.5
419,1064
426,1095.5
425,1040
358,1027.5
411,1060
366,1088.5
388,1038
458,1054.5
446,1045
397,1137.5
455,1118
463,1059.5
418,1118
456,1108.5
374,1062
385,1078.5
379,1096
371,1137.5
381,1115
454,1078.5
412,1156
401,1136.5
423,1095
464,1105.5
410,1099
460,1154.5
430,1161
471,1138.5
432,1118
396,1146.5
478,1173
466,1097.5
406,1130
469,1180.5
475,1117
485,1129.5
394,1129
483,1160.5
489,1144
427,1195.5
400,1132
452,1127.5
491,1221
459,1221.5
481,1203
453,1206.5
409,1219
433,1216.5
423,1203
466,1199.5
486,1153
490,1230.5
491,1177
497,1232.5
422,1228
425,1174.5
502,1182
439,1198.5
437,1252
449,1224.5
432,1210
452,1197.5
498,1193
427,1229.5
506,1202
434,1249.5
457,1235
429,1206.5
505,1237
480,1286.5
451,1218
494,1265.5
477,1246
437,1227.5
467,1300
517,1214.5
523,1284
521,1285.5
531,1264
464,1301.5
511,1316
492,1285.5
488,1239
478,1259.5
506,1325
523,1324.5
516,1237
507,1262.5
496,1265
451,1332.5
522,1339
500,1316.5
520,1292
447,1274.5
545,1335
461,1281.5
532,1278
544,1293.5
491,1296
474,1323.5
539,1324
509,1330.5
518,1344
498,1290.5
510,1327
521,1361.5
559,1299
515,1357.5
477,1293
514,1353.5
554,1355
556,1366.5
503,1334
526,1327.5
539,1382
