x1,x2,y
-19,229,1102.4
18,-45,533.1
-11,584,2476.7
-88,810,3190.6
1,989,3834.6
10,786,3692.6
65,766,3119.1
60,108,959.4
-63,817,3975.4
-48,367,2117.5
5,676,2959.7
14,1046,4038.4
7,609,2694.2
40,809,3926.7
-35,262,1338.7
54,992,3917.4
11,936,4025.7
-36,461,2542.7
-27,867,3638.6
-38,317,1542.3
-33,571,2967.8
-68,138,671
-7,627,3152.6
62,269,1962.9
-59,519,2447.4
-28,333,1531.5
123,511,2298.2
26,346,1732
59,645,2911
-48,21,570.1
73,581,2801.8
130,785,3534.1
31,6,694.1
84,1022,3965.2
-5,194,1315.3
-16,794,3678.4
23,932,3911.5
-22,248,1644.6
61,169,1580
-40,59,861.7
137,-18,796.5
-40,102,974.8
-9,172,891.9
90,361,2171.7
-53,-20,923.5
-4,336,1666.8
133,556,2713.5
66,242,1674.8
115,664,3491.1
84,605,2613.5
-5,-35,782
32,920,3699.6
39,278,1288.3
6,645,2654.3
151,790,3447.9
16,1046,4112.6
151,510,2560.3
118,710,3227.6
71,873,4085
150,638,2846.6
-9,713,3131.2
-34,578,3058.4
21,383,1787.2
134,861,3988.1
15,554,2827.3
128,336,1721.2
115,767,3845.8
40,-19,679.1
55,498,2702.9
158,164,1679.2
75,886,3992.7
36,817,4022.7
-27,812,3415.1
58,235,1672.1
159,935,4160.4
56,536,2985
133,742,3653.3
158,129,961.1
149,1017,4150.6
84,984,4241
49,36,872.3
116,643,3392.3
115,931,4245.2
164,653,2939.9
-11,914,4387.5
90,1079,4463.1
149,829,4032.2
46,410,2397.8
51,206,1783.3
150,677,2861.3
143,49,811.4
146,914,4210
131,898,4232.9
48,1001,4370.5
63,159,1226.8
22,224,1404.8
103,743,3685.4
126,549,2688.5
121,715,3507.2
168,989,3988.7
67,905,4168.4
26,953,3880.7
145,-26,959.1
94,520,2716.6
133,912,3888.9
186,967,4144.3
125,364,1978.3
72,676,3150.8
41,528,2550.7
164,275,1398.7
135,130,938.5
178,551,2681.3
21,945,4249.8
48,145,1326.9
179,165,1116.4
40,261,1547.5
31,797,4074.2
132,1061,4509.5
79,918,4355.9
114,899,4113.5
201,-12,815.3
206,109,1180.3
215,347,1997.4
196,-45,921.3
191,394,2324.3
206,-29,992.7
103,464,2275.3
102,640,3530.6
219,807,3595.8
212,936,4406.6
105,398,2725.1
88,298,2064.8
207,206,1152.9
58,664,3070
159,686,3422.3
120,862,3754
81,473,2520.8
222,601,3022.5
135,180,1532.9
212,182,1415
187,818,3452.7
72,905,4584.9
145,336,2212.1
168,762,3960.2
195,116,1278.7
62,624,3059
51,125,1614.8
216,205,1423.7
205,309,2292.8
118,668,3386.8
87,338,2098.1
72,922,4175.4
227,217,1588.4
88,768,4034.6
91,262,1817.9
110,916,4353.2
167,780,3601.1
254,490,2862.4
113,701,3370.8
236,272,1830.6
229,543,2983.4
148,17,1058.5
121,992,4325.3
206,1019,4482.9
253,1015,4474.8
252,251,2117.5
205,549,3133.2
232,580,2781
209,-55,1036.8
158,610,2882.8
149,968,4595.3
232,908,4382.4
105,98,1255.7
202,730,3350.4
177,72,1345.7
236,150,1534.2
167,503,2541.2
130,377,1951.7
263,864,4107.7
274,314,1863.8
143,209,1524.4
98,1019,4705.9
195,616,3491.5
206,935,4032.9
235,217,2094.4
186,-14,1206.8
217,942,4022.3
226,48,1461.2
167,170,1814.3
132,216,1908.6
217,586,3146.1
200,31,1506.5
213,948,4319.9
292,828,3901.4
113,109,1656
276,452,2656.4
139,352,1993.9
136,273,2034.5
287,461,2430.6
190,783,3929.7
149,98,1623.1
258,124,1264.2
199,583,3051.2
270,101,1390.7
289,163,1595.4
290,662,3271.4
139,999,4741.4
206,158,1483.8
293,356,1936.3
242,704,3729.8
133,335,2399.4
194,1009,4439.9
181,446,3100.3
276,915,4124.9
217,856,4578.5
266,373,2105.7
271,921,4613.8
154,108,1794.2
303,124,1306.9
224,200,1481.8
299,915,4732.4
244,281,2292.1
189,237,1696
172,93,1419.3
167,45,1167.6
184,914,4781.4
291,28,1156.9
200,-17,1243.5
207,300,2272.7
262,493,2683.1
149,816,4153.9
282,14,1279.8
261,319,1981.8
326,618,3582.8
169,474,3085.9
228,134,1249.8
191,96,1681.1
138,-44,1359.2
317,580,3538.9
142,133,1738.5
179,774,4324.7
278,116,1356.6
237,719,4101.4
260,538,3267.8
247,1028,4824.7
202,-34,1061.8
331,245,1895.8
342,593,2873.5
155,909,4411.8
342,500,2981.8
163,647,3962
198,309,2012.5
239,493,2776.4
288,121,1211.5
277,212,1639.5
306,293,2420.3
235,259,2375.2
262,519,3392.3
191,905,4269.8
250,738,4016.4
277,842,4667.9
358,44,1321.2
233,-3,1245.6
282,362,2496.8
291,1050,4662.9
300,514,3216.6
263,882,4118.3
316,437,2897.9
363,293,2517
296,642,3590.6
349,215,1766.2
234,24,1465.4
297,781,4050
210,1010,4552
353,447,2943.4
250,622,3937.2
191,1009,4914.4
298,313,2436.1
233,627,3512.2
278,625,3842.7
185,803,4119
300,689,3775.1
283,811,4101.2
300,272,2048
345,741,4222.8
202,371,2556.7
195,578,3487.1
196,912,4514.2
233,389,2880.8
240,180,1686.8
247,477,3396.4
228,829,4346.3
305,393,2316.8
222,475,3053.9
249,423,2839.8
206,178,1534.8
325,928,4792.5
392,1037,4670.1
393,700,3961.7
364,360,2347.2
243,97,1501.2
270,859,4359.9
229,78,1403.3
268,153,1520.7
235,375,3003.8
330,34,1396.8
403,724,4329.9
366,71,1611.7
405,259,2358.2
392,271,2329.5
365,-1,1346
392,762,3827
297,6,1714.7
336,627,3455.5
253,902,4373.9
296,779,4440.7
305,369,2691.2
286,692,3996.2
273,145,1761.6
306,284,2052.6
389,328,2535.1
338,16,1583.6
335,981,4885.8
356,611,3791.3
367,397,3119.6
316,782,3965.2
337,560,3425.3
280,385,3062.7
355,1023,4807.6
410,-40,1504.4
373,159,1687.8
254,364,2775
245,735,4402
410,727,3901.5
243,538,3266.7
414,852,4334.8
271,471,3338.6
294,258,2498.6
353,560,3739.9
324,955,4945.3
327,991,4594.2
258,299,2645.1
253,568,3351.3
270,1033,4959.9
353,377,3035.2
246,78,1747.8
349,216,2008.1
292,312,2642.2
409,623,3936.8
322,851,4300.3
367,696,4293.3
346,403,2590.5
381,394,2471.9
340,12,1677.2
363,655,4139.4
434,713,4079.3
345,66,1571.5
422,59,1467.1
293,125,2043.6
270,511,3520.5
299,775,4699.2
416,141,2124.5
299,348,3023.9
364,24,1397.6
381,830,4238.1
278,955,4862.7
413,722,4170.3
412,290,2728
387,168,1776.9
272,277,2239.9
427,680,4149.5
448,602,3539.4
375,1018,5110.5
306,102,1711.6
319,231,2456.2
326,291,2699.9
297,379,2911
416,598,3775.4
427,777,4650.8
428,633,4021.5
321,832,4476.7
436,268,2763.6
459,700,4409.5
328,686,4101.8
355,533,3251
322,466,3343.2
479,417,2760
382,871,4879.1
347,836,4592.1
292,177,2256.9
361,502,3300.5
476,172,2046.6
355,606,3504.1
436,224,2400
445,533,3399.2
456,507,3505.1
449,954,5085.9
462,528,3571.6
365,322,2924.5
466,570,3356.2
327,893,4450
460,908,4797.2
337,553,3149
490,488,3465
339,930,5199.5
320,540,3307
499,542,3828.9
452,730,4026
439,213,2530.4
364,357,2527.9
373,7,1686
316,842,4948.2
389,615,3502.2
448,183,1879.3
499,178,2232.3
486,-2,1512.6
423,359,2759.6
434,985,5228.7
391,692,3954.9
486,369,2820.3
445,739,4094
374,753,4619.7
363,200,2447.5
484,88,1496.2
463,600,3762.7
346,970,4865
467,229,2083.4
440,448,3203.8
387,621,3762.8
454,148,2104.2
407,268,2534.7
446,519,3776.3
351,921,5122.8
470,236,2259.4
385,651,4309.8
442,128,2265.4
487,443,3554
342,-22,1683.6
511,775,4629.2
478,727,4130.9
515,1055,5128.8
386,298,2544.2
401,328,2481.1
370,897,5009.5
415,213,2367.8
414,294,3016
489,451,3403.6
358,235,2553.7
419,195,2531
542,604,3524
429,599,3871.4
390,320,3025.8
543,354,3234.1
406,234,2684.4
389,198,2176.5
502,205,2223.5
537,701,4126.2
396,637,4214.9
385,314,2637.5
380,647,3970.1
523,230,2583.1
390,46,1793
501,536,4011.9
498,495,3203.1
561,100,1969.1
462,391,2995.7
545,448,3094.9
372,422,2992.4
411,484,3551.3
558,798,4632.6
485,722,4416.3
486,746,4334.2
437,17,1845.4
460,395,3552.7
479,461,3084
522,247,2343.5
471,216,2208.1
456,304,3068.8
551,482,3314.5
434,865,4726.5
563,68,1828.9
456,561,3916.9
433,806,4720.5
398,222,2272.4
429,627,4234
574,128,2530.8
439,1057,5295.2
390,106,1947.8
401,359,3329
480,900,5108.2
413,487,3612.6
426,473,3598.3
521,86,2256.5
558,345,2965.7
507,543,3546.8
586,164,2153
471,421,3054
572,607,3640.5
435,771,4369.8
426,672,3879.6
535,94,2211.5
600,967,5016.1
405,760,4309.1
414,739,4708.9
413,247,2617.6
586,567,3943.1
453,-69,1890.8
518,537,3515.3
525,38,1811.3
592,685,3969.7
537,465,3309.6
426,452,3175
603,949,4899
576,90,2463.2
441,639,4206.4
550,598,4257
561,665,4188.4
434,30,1770.2
505,723,4566
604,220,2862.8
525,847,4767.8
584,876,4872.8
447,920,4877.1
424,456,3696.4
491,719,4105
536,142,2740.4
525,371,3396.2
466,290,3147.4
