x1,x2,y
1,167,1120.4
2,13,553.1
3,536,2490.7
4,718,3166.6
5,893,3816.6
6,868,3726.6
7,728,3211.1
8,142,1045.4
9,917,3915.4
10,425,2097.5
11,666,2991.7
12,952,4052.4
13,601,2756.2
14,901,3868.7
15,196,1262.7
16,902,3877.4
17,936,4005.7
18,521,2472.7
19,823,3592.6
20,279,1582.3
21,669,3027.8
22,40,703
23,683,3084.6
24,357,1880.9
25,517,2475.4
26,285,1619.5
27,451,2236.2
28,320,1754
29,625,2885
30,23,660.1
31,599,2793.8
32,793,3514.1
33,8,612.1
34,926,4011.2
35,174,1231.3
36,832,3668.4
37,890,3885.5
38,308,1734.6
39,245,1504
40,61,825.7
41,60,824.5
42,74,878.8
43,92,947.9
44,401,2093.7
45,70,871.5
46,274,1628.8
47,540,2615.5
48,304,1744.8
49,758,3427.1
50,545,2641.5
51,45,794
52,848,3767.6
53,194,1350.3
54,569,2740.3
55,772,3493.9
56,958,4184.6
57,514,2544.3
58,718,3301.6
59,955,4181
60,598,2862.6
61,691,3209.2
62,642,3030.4
63,301,1771.2
64,913,4038.1
65,584,2823.3
66,306,1797.2
67,839,3771.8
68,23,755.1
69,552,2714.9
70,246,1585.2
71,876,3918.7
72,891,3976.7
73,758,3487.1
74,283,1732.1
75,917,4080.4
76,630,3021
77,784,3593.3
78,73,965.1
79,943,4186.6
80,970,4289
81,54,902.3
82,729,3402.3
83,961,4263.2
84,607,2955.9
85,970,4301.5
86,993,4389.1
87,891,4014.2
88,434,2325.8
89,264,1699.3
90,599,2941.3
91,47,901.4
92,920,4134
93,932,4180.9
94,975,4342.5
95,109,1140.8
96,164,1346.8
97,797,3691.4
98,535,2724.5
99,741,3489.2
100,891,4046.7
101,907,4108.4
102,861,3940.7
103,48,935.1
104,538,2750.6
105,852,3914.9
106,929,4202.3
107,304,1892.3
108,644,3152.8
109,466,2496.7
110,181,1444.7
111,50,962.5
112,509,2663.3
113,949,4293.8
114,147,1328.9
115,77,1072.4
116,215,1585.5
117,881,4052.2
118,985,4439.5
119,972,4393.9
120,915,4185.5
121,4,817.3
122,109,1208.3
123,327,2017.4
124,9,843.3
125,394,2270.3
126,41,966.7
127,374,2201.3
128,738,3550.6
129,729,3519.8
130,988,4480.6
131,488,2633.1
132,324,2028.8
133,112,1246.9
134,630,3166
135,704,3442.3
136,800,3800
137,439,2466.8
138,615,3120.5
139,182,1520.9
140,130,1331
141,726,3538.7
142,987,4506.9
143,378,2256.1
144,846,3990.2
145,86,1180.7
146,620,3159
147,209,1640.8
148,141,1391.7
149,359,2200.8
150,694,3442.8
151,338,2128.1
152,882,4143.4
153,187,1574.4
154,848,4022.6
155,272,1893.9
156,956,4427.2
157,758,3697.1
158,542,2900.4
159,669,3372.8
160,238,1780.6
161,577,3037.4
162,55,1108.5
163,914,4289.3
164,957,4450.9
165,979,4534.8
166,345,2191.5
167,621,3215.2
168,510,2807
169,19,992.8
170,514,2826.8
171,974,4531.3
172,912,4304.4
173,76,1213.7
174,662,3384.4
175,86,1255.7
176,186,1628.2
177,451,2611.2
178,291,2021.7
179,866,4151.7
180,274,1963.8
181,167,1570.4
182,997,4643.9
183,660,3399.5
184,837,4056.9
185,307,2098.4
186,54,1164.8
187,844,4090.3
188,116,1399.2
189,254,1912.3
190,248,1892.6
191,578,3116.1
192,125,1442.5
193,882,4245.9
194,812,3989.4
195,165,1598
196,432,2588.4
197,282,2035.9
198,295,2086.5
199,383,2414.6
200,801,3963.7
201,158,1587.1
202,76,1286.2
203,541,3009.2
204,91,1346.7
205,157,1593.4
206,612,3279.4
207,987,4669.4
208,114,1441.8
209,274,2036.3
210,724,3703.8
211,367,2385.4
212,947,4533.9
213,534,3008.3
214,827,4094.9
215,950,4552.5
216,301,2153.7
217,969,4627.8
218,196,1770.2
219,82,1350.9
220,134,1545.8
221,987,4704.4
222,323,2250.1
223,165,1668
224,109,1463.3
225,3,1073.6
226,992,4735.4
227,22,1148.9
228,35,1199.5
229,326,2278.7
230,453,2751.1
231,852,4229.9
232,34,1205.8
233,249,2003.8
234,694,3652.8
235,532,3055.9
236,54,1289.8
237,138,1603.1
238,46,1265.2
239,662,3546.9
240,165,1710.5
241,866,4306.7
242,68,1356.6
243,787,4019.4
244,594,3307.8
245,986,4760.7
246,4,1129.8
247,219,1927.8
248,495,2951.5
249,869,4337.8
250,524,3063.8
251,745,3884
252,265,2110.5
253,427,2712.4
254,25,1227.5
255,160,1729.5
256,359,2468.3
257,331,2367.2
258,589,3324.3
259,859,4325.8
260,792,4080.4
261,942,4637.9
262,26,1251.2
263,13,1205.6
264,364,2506.8
265,952,4684.9
266,568,3266.6
267,784,4068.3
268,447,2823.9
269,385,2597
270,648,3572.6
271,151,1736.2
272,102,1557.4
273,795,4124
274,930,4626
275,467,2915.4
276,716,3839.2
277,987,4844.4
278,323,2390.1
279,651,3606.2
280,711,3830.7
281,765,4033
282,673,3695.1
283,801,4171.2
284,240,2098
285,819,4242.8
286,341,2476.7
287,588,3393.1
288,906,4572.2
289,459,2920.8
290,134,1720.8
291,577,3362.4
292,839,4334.3
293,299,2338.8
294,517,3147.9
295,419,2787.8
296,84,1550.8
297,980,4868.5
298,943,4734.1
299,726,3933.7
300,316,2419.2
301,91,1589.2
302,837,4351.9
303,14,1309.3
304,71,1522.7
305,449,2923.8
306,14,1316.8
307,812,4271.9
308,81,1569.7
309,301,2386.2
310,285,2329.5
311,5,1296
312,710,3907
313,106,1674.7
314,605,3523.5
315,812,4291.9
316,851,4438.7
317,391,2739.2
318,736,4018.2
319,113,1715.6
320,218,2106.6
321,338,2553.1
322,98,1667.6
323,979,4929.8
324,649,3711.3
325,463,3025.6
326,706,3927.2
327,574,3441.3
328,451,2988.7
329,963,4885.6
330,22,1406.4
331,99,1693.8
332,390,2773
333,835,4422
334,705,3943.5
335,496,3172.7
336,784,4240.8
337,553,3388.6
338,308,2484.6
339,652,3759.9
340,969,4935.3
341,901,4686.2
342,333,2587.1
343,514,3259.3
344,947,4863.9
345,431,2957.2
346,84,1675.8
347,158,1952.1
348,346,2650.2
349,719,4032.8
350,789,4294.3
351,794,4315.3
352,325,2582.5
353,302,2499.9
354,66,1629.2
355,747,4151.4
356,729,4087.3
357,70,1651.5
358,33,1517.1
359,193,2111.6
360,565,3490.5
361,871,4625.2
362,215,2200.5
363,432,3005.9
